,customerid,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
148,12495,641,1,357.4,1,1,2,4,At Risk
149,12496,620,2,54.09,1,2,1,4,At Risk
150,12497,82,3,6248.5,3,2,5,10,Loyal Customers
151,12498,21,3,403.70000000000005,4,2,2,8,Needs Attention
152,12499,560,1,393.72,1,1,2,4,At Risk
153,12500,23,19,5955.21,4,5,5,14,Champions
154,12501,337,1,2169.39,2,1,4,7,Needs Attention
155,12502,96,5,3723.87,3,3,5,11,Loyal Customers
156,12503,584,1,1126.0,1,1,3,5,At Risk
157,12504,18,4,779.05,5,3,3,11,Loyal Customers
158,12505,409,1,955.2,2,1,3,6,At Risk
159,12506,233,1,73.5,2,1,1,4,At Risk
160,12507,134,4,1844.06,3,3,4,10,Loyal Customers
161,12508,26,2,398.27,4,2,2,8,Needs Attention
162,12509,284,1,176.5,2,1,1,4,At Risk
163,12510,143,9,5178.02,3,4,5,12,Loyal Customers
164,12511,429,1,3084.02,1,1,5,7,Needs Attention
165,12512,66,2,138.03,3,2,1,6,At Risk
166,12513,113,1,612.29,3,1,2,6,At Risk
167,12514,267,2,1597.76,2,2,4,8,Needs Attention
168,12515,353,1,383.7,2,1,2,5,At Risk
169,12516,78,4,2648.62,3,3,4,10,Loyal Customers
170,12517,28,5,2502.84,4,3,4,11,Loyal Customers
171,12518,1,5,2056.89,5,3,4,12,Loyal Customers
172,12519,64,2,726.54,3,2,3,8,Needs Attention
173,12520,79,5,2634.26,3,3,4,10,Loyal Customers
174,12521,143,1,599.68,3,1,2,6,At Risk
175,12522,39,2,192.72,4,2,1,7,Needs Attention
176,12523,19,23,4372.15,5,5,5,15,Champions
177,12524,9,17,11126.11,5,5,5,15,Champions
178,12525,498,3,973.73,1,2,3,6,At Risk
179,12526,1,3,1316.66,5,2,4,11,Loyal Customers
180,12527,82,5,735.51,3,3,3,9,Needs Attention
181,12528,9,6,1933.48,5,3,4,12,Loyal Customers
182,12529,528,1,316.48,1,1,2,4,At Risk
183,12530,60,9,3759.26,3,4,5,12,Loyal Customers
184,12531,15,2,1933.2,5,2,4,11,Loyal Customers
185,12532,30,1,349.83000000000004,4,1,2,7,Needs Attention
186,12533,628,2,1367.89,1,2,4,7,Needs Attention
187,12534,131,1,1089.18,3,1,3,7,Needs Attention
188,12535,92,2,716.35,3,2,3,8,Needs Attention
189,12536,43,3,12601.830000000002,4,2,5,11,Loyal Customers
190,12537,409,1,732.94,2,1,3,6,At Risk
191,12538,29,2,640.45,4,2,3,9,Needs Attention
192,12539,22,7,11214.75,4,3,5,12,Loyal Customers
193,12540,20,33,22254.49,4,5,5,14,Champions
194,12541,30,3,981.18,4,2,3,9,Needs Attention
195,12542,484,2,481.88,1,2,2,5,At Risk
196,12543,448,1,980.25,1,1,3,5,At Risk
197,12544,36,1,372.7,4,1,2,7,Needs Attention
198,12545,75,2,1000.39,3,2,3,8,Needs Attention
199,12546,47,2,1161.5,4,2,3,9,Needs Attention
200,12547,198,3,383.58,2,2,2,6,At Risk
201,12548,166,1,95.19999999999999,3,1,1,5,At Risk
202,12549,576,6,1575.68,1,3,4,8,Needs Attention
203,12550,79,1,964.83,3,1,3,7,Needs Attention
204,12551,358,1,168.0,2,1,1,4,At Risk
205,12552,39,2,437.82,4,2,2,8,Needs Attention
206,12553,8,12,4608.75,5,4,5,14,Champions
207,12554,449,1,468.5,1,1,2,4,At Risk
208,12555,682,1,129.23,1,1,1,3,At Risk
209,12556,50,2,603.71,4,2,2,8,Needs Attention
210,12557,16,8,18716.14,5,4,5,14,Champions
211,12558,8,1,269.96,5,1,1,7,Needs Attention
212,12559,311,2,561.71,2,2,2,6,At Risk
213,12560,5,3,2134.01,5,2,4,11,Loyal Customers
214,12561,303,1,238.85,2,1,1,4,At Risk
215,12562,8,9,4966.92,5,4,5,14,Champions
216,12563,409,1,249.24,2,1,1,4,At Risk
217,12564,261,1,456.9,2,1,2,5,At Risk
218,12565,289,1,145.92,2,1,1,4,At Risk
219,12566,86,1,351.65,3,1,2,6,At Risk
220,12567,23,15,13709.86,4,5,5,14,Champions
221,12568,645,1,70.0,1,1,1,3,At Risk
222,12569,2,32,4124.69,5,5,5,15,Champions
223,12570,682,1,77.52,1,1,1,3,At Risk
224,12571,40,2,519.61,4,2,2,8,Needs Attention
225,12572,9,2,1020.42,5,2,3,10,Loyal Customers
226,12573,227,5,717.41,2,3,3,8,Needs Attention
227,12574,316,1,218.45,2,1,1,4,At Risk
228,12575,457,2,622.8199999999999,1,2,3,6,At Risk
229,12576,36,8,2142.72,4,4,4,12,Loyal Customers
230,12577,35,8,1653.75,4,4,4,12,Loyal Customers
231,12578,21,4,4642.45,4,3,5,12,Loyal Customers
232,12579,78,1,440.42,3,1,2,6,At Risk
233,12580,247,2,1052.9,2,2,3,7,Needs Attention
234,12581,40,1,197.71,4,1,1,6,At Risk
235,12582,239,4,1980.4,2,3,4,9,Needs Attention
236,12583,3,27,14447.44,5,5,5,15,Champions
237,12584,4,9,2338.15,5,4,4,13,Champions
238,12585,234,2,2040.1,2,2,4,8,Needs Attention
239,12586,17,4,2062.67,5,3,4,12,Loyal Customers
240,12587,8,1,144.0,5,1,1,7,Needs Attention
241,12588,39,4,958.78,4,3,3,10,Loyal Customers
242,12589,29,8,4695.66,4,4,5,13,Champions
243,12590,211,2,9864.26,2,2,5,9,Needs Attention
244,12591,317,3,1352.15,2,2,4,8,Needs Attention
245,12592,92,5,2582.66,3,3,4,10,Loyal Customers
246,12593,109,3,418.09999999999997,3,2,2,7,Needs Attention
247,12594,38,15,5090.110000000001,4,5,5,14,Champions
248,12595,505,1,299.02,1,1,2,4,At Risk
249,12596,51,2,618.27,4,2,3,9,Needs Attention
250,12597,19,4,3811.22,5,3,5,13,Champions
251,12598,10,11,4534.09,5,4,5,14,Champions
252,12599,29,13,2296.72,4,4,4,12,Loyal Customers
253,12600,29,21,5043.92,4,5,5,14,Champions
254,12601,190,6,681.26,2,3,3,8,Needs Attention
255,12602,59,1,153.12,4,1,1,6,At Risk
256,12603,22,1,739.1999999999999,4,1,3,8,Needs Attention
257,12604,79,2,254.18,3,2,1,6,At Risk
258,12605,376,4,1232.95,2,3,3,8,Needs Attention
259,12606,682,1,21.0,1,1,1,3,At Risk
260,12607,60,1,1579.51,3,1,4,8,Needs Attention
261,12608,405,1,415.79,2,1,2,5,At Risk
262,12609,78,9,3435.86,3,4,5,12,Loyal Customers
263,12610,23,5,2099.54,4,3,4,11,Loyal Customers
264,12611,52,1,1193.32,4,1,3,8,Needs Attention
265,12612,74,1,704.0400000000001,3,1,3,7,Needs Attention
266,12613,57,10,6835.07,4,4,5,13,Champions
267,12614,278,1,315.6,2,1,2,5,At Risk
268,12615,2,8,5740.98,5,4,5,14,Champions
269,12616,95,3,1131.1,3,2,3,8,Needs Attention
270,12617,29,1,355.53,4,1,2,7,Needs Attention
271,12618,22,1,177.31,4,1,1,6,At Risk
272,12619,16,10,3781.38,5,4,5,14,Champions
273,12620,15,3,1339.41,5,2,4,11,Loyal Customers
274,12621,2,35,24775.81,5,5,5,15,Champions
275,12622,232,1,180.1,2,1,1,4,At Risk
276,12623,276,7,3747.84,2,3,5,10,Loyal Customers
277,12624,106,2,641.13,3,2,3,8,Needs Attention
278,12625,212,4,5164.88,2,3,5,10,Loyal Customers
279,12626,23,9,6620.48,4,4,5,13,Champions
280,12627,11,7,4478.53,5,3,5,13,Champions
281,12628,4,3,786.46,5,2,3,10,Loyal Customers
282,12629,386,2,1558.22,2,2,4,8,Needs Attention
283,12630,10,2,1270.88,5,2,4,11,Loyal Customers
284,12631,57,6,3481.57,4,3,5,12,Loyal Customers
285,12632,521,2,804.88,1,2,3,6,At Risk
286,12633,59,7,5678.16,4,3,5,12,Loyal Customers
287,12634,536,2,490.0,1,2,2,5,At Risk
288,12635,90,4,2930.41,3,3,4,10,Loyal Customers
289,12636,739,1,141.0,1,1,1,3,At Risk
290,12637,67,12,8340.31,3,4,5,12,Loyal Customers
291,12638,33,2,921.49,4,2,3,9,Needs Attention
292,12639,239,3,1312.37,2,2,4,8,Needs Attention
293,12640,24,3,1174.58,4,2,3,9,Needs Attention
294,12641,115,1,185.9,3,1,1,5,At Risk
295,12642,25,3,1013.26,4,2,3,9,Needs Attention
296,12643,128,12,8350.42,3,4,5,12,Loyal Customers
297,12644,130,4,1918.49,3,3,4,10,Loyal Customers
298,12645,34,8,3539.3,4,4,5,13,Champions
299,12646,5,2,1346.97,5,2,4,11,Loyal Customers
300,12647,22,36,17924.35,4,5,5,14,Champions
301,12648,155,4,1112.0,3,3,3,9,Needs Attention
302,12649,107,8,2294.65,3,4,4,11,Loyal Customers
303,12650,3,1,314.44,5,1,2,8,Needs Attention
304,12651,335,4,377.75,2,3,2,7,Needs Attention
305,12652,331,2,1017.03,2,2,3,7,Needs Attention
306,12653,149,3,4160.83,3,2,5,10,Loyal Customers
307,12654,11,5,601.98,5,3,2,10,Loyal Customers
308,12655,424,1,261.35,1,1,1,3,At Risk
309,12656,17,8,6407.83,5,4,5,14,Champions
310,12657,11,4,1643.18,5,3,4,12,Loyal Customers
311,12658,19,1,686.05,5,1,3,9,Needs Attention
312,12659,30,1,91.68,4,1,1,6,At Risk
313,12660,11,1,245.1,5,1,1,7,Needs Attention
314,12661,436,1,162.0,1,1,1,3,At Risk
315,12662,1,20,6988.02,5,5,5,15,Champions
316,12663,625,2,239.4,1,2,1,4,At Risk
317,12664,8,11,6070.04,5,4,5,14,Champions
318,12665,325,3,313.6,2,2,2,6,At Risk
319,12666,394,1,1248.42,2,1,3,6,At Risk
320,12667,58,1,620.13,4,1,3,8,Needs Attention
321,12668,12,10,11444.68,5,4,5,14,Champions
322,12669,151,3,2744.0299999999997,3,2,4,9,Needs Attention
323,12670,10,7,3760.29,5,3,5,13,Champions
324,12671,606,1,2622.481,1,1,4,6,At Risk
325,12672,330,2,437.05,2,2,2,6,At Risk
326,12673,5,3,1230.02,5,2,3,10,Loyal Customers
327,12674,39,4,1970.6,4,3,4,11,Loyal Customers
328,12675,554,2,958.5,1,2,3,6,At Risk
329,12676,25,11,2843.09,4,4,4,12,Loyal Customers
330,12677,555,2,395.1,1,2,2,5,At Risk
331,12678,42,21,34281.18,4,5,5,14,Champions
332,12679,59,4,1113.02,4,3,3,10,Loyal Customers
333,12680,1,4,880.81,5,3,3,11,Loyal Customers
334,12681,15,45,30868.28,5,5,5,15,Champions
335,12682,4,52,24033.91,5,5,5,15,Champions
336,12683,4,21,12696.78,5,5,5,15,Champions
337,12684,8,7,2283.63,5,3,4,12,Loyal Customers
338,12685,28,6,2863.08,4,3,4,11,Loyal Customers
339,12686,372,1,178.28,2,1,1,4,At Risk
340,12687,481,2,2138.91,1,2,4,7,Needs Attention
341,12688,114,1,4873.8099999999995,3,1,5,9,Needs Attention
342,12689,26,2,1247.61,4,2,3,9,Needs Attention
343,12690,206,1,389.01,2,1,2,5,At Risk
344,12691,28,7,1170.4,4,3,3,10,Loyal Customers
345,12692,637,1,110.95,1,1,1,3,At Risk
346,12693,127,7,1703.02,3,3,4,10,Loyal Customers
347,12694,70,3,1843.35,3,2,4,9,Needs Attention
348,12695,7,7,1407.1200000000001,5,3,4,12,Loyal Customers
349,12696,435,2,851.91,1,2,3,6,At Risk
350,12697,29,3,957.59,4,2,3,9,Needs Attention
351,12698,590,1,339.75,1,1,2,4,At Risk
352,12699,418,1,638.11,1,1,3,5,At Risk
353,12700,8,4,4939.99,5,3,5,13,Champions
354,12701,80,6,2446.41,3,3,4,10,Loyal Customers
355,12702,20,1,219.0,4,1,1,6,At Risk
356,12703,71,4,1006.53,3,3,3,9,Needs Attention
357,12704,7,8,2340.84,5,4,4,13,Champions
358,12705,15,14,11762.1,5,5,5,15,Champions
359,12707,292,1,603.42,2,1,2,5,At Risk
360,12708,30,18,5314.1,4,5,5,14,Champions
361,12709,15,34,31093.34,5,5,5,15,Champions
362,12710,97,3,1149.02,3,2,3,8,Needs Attention
363,12711,612,2,1339.05,1,2,4,7,Needs Attention
364,12712,29,21,7193.66,4,5,5,14,Champions
365,12713,1,1,848.55,5,1,3,9,Needs Attention
366,12714,9,12,14093.71,5,4,5,14,Champions
367,12715,106,1,353.86,3,1,2,6,At Risk
368,12716,4,2,1053.49,5,2,3,10,Loyal Customers
369,12717,151,3,1308.91,3,2,4,9,Needs Attention
370,12718,71,1,238.25,3,1,1,5,At Risk
371,12719,5,2,644.95,5,2,3,10,Loyal Customers
372,12720,3,30,8260.67,5,5,5,15,Champions
373,12721,32,8,4013.08,4,4,5,13,Champions
374,12722,85,4,997.63,3,3,3,9,Needs Attention
375,12723,4,5,725.07,5,3,3,11,Loyal Customers
376,12724,5,7,2317.52,5,3,4,12,Loyal Customers
377,12725,371,4,2694.56,2,3,4,9,Needs Attention
378,12726,28,11,4014.6,4,4,5,13,Champions
379,12727,11,10,5679.53,5,4,5,14,Champions
380,12728,71,5,1070.17,3,3,3,9,Needs Attention
381,12729,114,1,453.01,3,1,2,6,At Risk
382,12730,522,1,829.25,1,1,3,5,At Risk
383,12731,24,17,25775.71,4,5,5,14,Champions
384,12732,180,1,236.26000000000002,3,1,1,5,At Risk
385,12733,234,4,2424.87,2,3,4,9,Needs Attention
386,12734,353,3,639.65,2,2,3,7,Needs Attention
387,12735,315,2,779.5699999999999,2,2,3,7,Needs Attention
388,12736,333,1,234.0,2,1,1,4,At Risk
389,12737,499,2,3710.5,1,2,5,8,Needs Attention
390,12738,372,1,310.7,2,1,2,5,At Risk
391,12739,78,4,2726.73,3,3,4,10,Loyal Customers
392,12740,64,1,427.6,3,1,2,6,At Risk
393,12741,529,2,406.07,1,2,2,5,At Risk
394,12742,626,1,1201.52,1,1,3,5,At Risk
395,12743,134,2,546.43,3,2,2,7,Needs Attention
396,12744,52,11,25317.06,4,4,5,13,Champions
397,12745,487,3,925.41,1,2,3,6,At Risk
398,12746,541,1,254.55,1,1,1,3,At Risk
399,12747,2,26,9276.539999999999,5,5,5,15,Champions
400,12748,1,336,56599.39,5,5,5,15,Champions
401,12749,4,9,6897.36,5,4,5,14,Champions
402,12750,129,1,275.88,3,1,1,5,At Risk
403,12751,445,1,268.27,1,1,1,3,At Risk
404,12752,81,1,4366.78,3,1,5,9,Needs Attention
405,12753,23,6,21429.39,4,3,5,12,Loyal Customers
406,12754,236,3,3010.74,2,2,5,9,Needs Attention
407,12755,281,11,9030.66,2,4,5,11,Loyal Customers
408,12756,87,1,112.07999999999998,3,1,1,5,At Risk
409,12757,16,13,7857.1,5,4,5,14,Champions
410,12758,117,7,9903.24,3,3,5,11,Loyal Customers
411,12759,52,8,5020.74,4,4,5,13,Champions
412,12760,456,1,347.8,1,1,2,4,At Risk
413,12761,458,2,782.95,1,2,3,6,At Risk
414,12762,8,2,1898.52,5,2,4,11,Loyal Customers
415,12763,138,2,814.16,3,2,3,8,Needs Attention
416,12764,317,1,1693.88,2,1,4,7,Needs Attention
417,12765,472,6,1404.58,1,3,4,8,Needs Attention
418,12766,4,9,10068.28,5,4,5,14,Champions
419,12767,376,1,949.82,2,1,3,6,At Risk
420,12768,451,1,168.69000000000003,1,1,1,3,At Risk
421,12769,239,1,1143.6,2,1,3,6,At Risk
422,12770,211,2,3246.45,2,2,5,9,Needs Attention
423,12771,486,1,282.3,1,1,1,3,At Risk
424,12772,60,1,892.47,3,1,3,7,Needs Attention
425,12773,564,1,124.25,1,1,1,3,At Risk
426,12774,536,1,98.7,1,1,1,3,At Risk
427,12775,17,7,1686.12,5,3,4,12,Loyal Customers
428,12776,668,1,55.5,1,1,1,3,At Risk
429,12777,458,1,519.45,1,1,2,4,At Risk
430,12778,20,9,1775.68,4,4,4,12,Loyal Customers
431,12779,38,14,6722.2699999999995,4,5,5,14,Champions
432,12780,599,1,337.4,1,1,2,4,At Risk
433,12781,64,2,826.74,3,2,3,8,Needs Attention
434,12782,5,11,4618.24,5,4,5,14,Champions
435,12783,2,6,2225.91,5,3,4,12,Loyal Customers
436,12784,9,3,1804.75,5,2,4,11,Loyal Customers
437,12785,364,3,1100.4,2,2,3,7,Needs Attention
438,12786,610,1,728.5,1,1,3,5,At Risk
439,12787,10,4,862.18,5,3,3,11,Loyal Customers
440,12788,463,4,444.9,1,3,2,6,At Risk
441,12789,65,3,273.35,3,2,1,6,At Risk
442,12790,192,2,591.85,2,2,2,6,At Risk
443,12791,374,6,1056.1100000000001,2,3,3,8,Needs Attention
444,12792,257,2,827.01,2,2,3,7,Needs Attention
445,12793,335,3,1017.33,2,2,3,7,Needs Attention
446,12794,53,2,860.41,4,2,3,9,Needs Attention
447,12795,19,1,430.48,5,1,2,8,Needs Attention
448,12796,628,1,381.0,1,1,2,4,At Risk
449,12797,366,2,806.11,2,2,3,7,Needs Attention
450,12798,10,4,8510.93,5,3,5,13,Champions
451,12799,529,1,219.35,1,1,1,3,At Risk
452,12800,470,3,584.25,1,2,2,5,At Risk
453,12801,501,1,1071.82,1,1,3,5,At Risk
454,12802,187,7,2416.42,3,3,4,10,Loyal Customers
455,12803,393,1,1092.81,2,1,3,6,At Risk
456,12804,466,2,327.02,1,2,2,5,At Risk
457,12805,382,4,1434.95,2,3,4,9,Needs Attention
458,12806,435,4,2878.96,1,3,4,8,Needs Attention
459,12807,383,1,330.35,2,1,2,5,At Risk
460,12808,37,5,906.1,4,3,3,10,Loyal Customers
461,12809,178,3,1755.94,3,2,4,9,Needs Attention
462,12810,535,2,534.99,1,2,2,5,At Risk
463,12811,261,5,1033.9,2,3,3,8,Needs Attention
464,12812,45,1,229.64000000000001,4,1,1,6,At Risk
465,12813,502,3,1687.8,1,2,4,7,Needs Attention
466,12814,102,1,125.92,3,1,1,5,At Risk
467,12815,148,2,1063.46,3,2,3,8,Needs Attention
468,12816,96,2,572.2,3,2,2,7,Needs Attention
469,12817,281,3,690.98,2,2,3,7,Needs Attention
470,12818,262,1,1542.08,2,1,4,7,Needs Attention
471,12819,458,1,540.52,1,1,2,4,At Risk
472,12820,3,11,2689.52,5,4,4,13,Champions
473,12821,214,2,220.8,2,2,1,5,At Risk
474,12822,71,2,948.88,3,2,3,8,Needs Attention
475,12823,75,18,6501.5,3,5,5,13,Champions
476,12824,60,1,397.12,3,1,2,6,At Risk
477,12825,521,2,518.63,1,2,2,5,At Risk
478,12826,3,12,2955.75,5,4,4,13,Champions
479,12827,6,3,430.15000000000003,5,2,2,9,Needs Attention
480,12828,3,6,1018.71,5,3,3,11,Loyal Customers
481,12829,337,3,385.3,2,2,2,6,At Risk
482,12830,38,6,6814.64,4,3,5,12,Loyal Customers
483,12831,262,3,451.11,2,2,2,6,At Risk
484,12832,32,2,383.03,4,2,2,8,Needs Attention
485,12833,145,1,417.38,3,1,2,6,At Risk
486,12834,283,1,312.38,2,1,2,5,At Risk
487,12835,428,41,6043.31,1,5,5,11,Loyal Customers
488,12836,59,15,6585.62,4,5,5,14,Champions
489,12837,173,2,688.41,3,2,3,8,Needs Attention
490,12838,34,10,3398.48,4,4,5,13,Champions
491,12839,3,26,10071.73,5,5,5,15,Champions
492,12840,144,7,4041.97,3,3,5,11,Loyal Customers
493,12841,5,40,7540.68,5,5,5,15,Champions
494,12842,70,4,1917.99,3,3,4,10,Loyal Customers
495,12843,66,30,6588.41,3,5,5,13,Champions
496,12844,29,4,648.6,4,3,3,10,Loyal Customers
497,12845,267,4,354.09,2,3,2,7,Needs Attention
